"Cell";"Lines";"FirstLine";"Keywords"
"12";"2";"#Importation de la librairie Pandas";""
"13";"6";"#Importation de la librairie plotly express";"plotly"
"14";"6";"#Trouver dans Google l'instruction permettant d'afficher toutes les colonnes d'un dataframe";""
"16";"53";"import sys";"read_excel"
"19";"85";"# Controle qualite data transversal";"duplicated, isna, stock, price, total_sales, corr, quality_report"
"22";"3";"#Afficher les dimensions du dataset";""
"23";"6";"#Consulter le nombre de colonnes";""
"24";"2";"#Afficher les 5 premi??res lignes de la table";""
"25";"5";"#V??rifier si il y a des lignes en doublon dans la colonne product_id";"duplicated"
"26";"5";"#Afficher les valeurs distinctes de la colonne stock_status";"stock, price, purchase_price"
"27";"9";"# Cr??ation d'une colonne ""stock_status_2""";"stock"
"28";"14";"# V??rifions que les 2 colonnes sont identiques:";"stock"
"29";"13";"#Synth??se du r??sultat en utilisant la somme de la colonne comparison";""
"31";"38";"#Si les colonnes ne sont absolument pas identiques ligne ?? ligne alors identifier la ligne en ??cart";"stock"
"33";"46";"#Corriger les donn??es incoh??rentes identifi??es";"stock, corr"
"36";"28";"###############";"isna, stock, price"
"38";"28";"#######################";"stock, price"
"40";"38";"########################";"isna, stock, price, corr"
"41";"24";"#Quelles sont les colonnes ?? conserver selon vous?";"isna, stock, price"
"42";"28";"#Supprimer la colonne comportant le libell?? ""stock_status_2"" car elle est redondante";"stock"
"44";"69";"######################";"isna, price, purchase_price"
"47";"17";"#Consulter le nombre de colonnes";""
"48";"10";"#Analyser les colonnes - Quelles colonnes conserver ?";"stock, total_sales"
"49";"17";"#Selon vous, quelles sont les colonnes ?? conserver/supprimer ?";"total_sales"
"50";"27";"#Trouver la colonne SKU/Product ID";""
"51";"9";"#Examiner les codes articles anomalies en d??tail";""
"52";"10";"#Identifier les lignes sans code article";""
"53";"22";"#Analyser les lignes sans code article - Actions ?? entreprendre";""
"54";"19";"#Analyser l'unicit?? de la cl?? SKU - V??rifier les doublons - autre m??thode";"duplicated"
"55";"23";"#Analyser les lignes sans code article";""
"56";"70";"#===== ANALYSE D'IMPACT: SUPPRESSION DES SKU ANOMALIES =====";"read_excel, isna, price"
"58";"5";"#Dimension du dataset";""
"59";"6";"#Consulter le nombre de colonnes";""
"60";"3";"#Les valeurs de la colonne ""product_id"" sont-elles toutes uniques? -> oui";""
"61";"2";"#Les valeurs de la colonne ""id_web"" sont-elles toutes uniques? -> oui, mais il y a des valeurs nulles";""
"62";"3";"#Avons-nous des articles sans correspondance? -> oui";"isna, corr"
"63";"26";"#v??rifier le fichier liaison ";"merge, total_sales"
"64";"16";"#Consulter le nombre de colonnes";""
"65";"17";"#Les valeurs de la colonne ""product_id"" sont-elles toutes uniques?";"duplicated"
"66";"17";"#Les valeurs de la colonne ""id_web"" sont-elles toutes uniques?";"duplicated"
"67";"39";"#Avons-nous des articles sans correspondance?";"read_excel, corr"
"70";"73";"#===== VERIFICATION DES 20 id_web MANQUANTS =====";"read_excel"
"73";"34";"#Fusion des fichiers df_erp et df_liaison";""
"74";"7";"# Fusion ERP + Liaison";"merge"
"75";"20";"#Y a t-il des lignes ne ""matchant"" pas entre les 2 fichiers?";"merge, isna, stock, price, corr"
"77";"10";"# Diagnostic : taille des DataFrames et temps de fusion";"merge"
"78";"9";"#v??rification des doublons dans df_merge";"merge, duplicated"
"79";"10";"#v??rification des doublons dans df_web";"duplicated"
"80";"5";"#v??rification des doublons dans df_web";""
"81";"3";"#renommage de la colonne sku en id_web pour faire la jonction avec df_merge";"merge"
"82";"4";"#v??rification des dimensions des df_merge et df_web";"merge"
"84";"14";"# Fusionner les datasets df_merge et df_web pour obtenir exactement 825 lignes";"merge, duplicated, isna"
"85";"7";"#v??rification que tous les id_web de df_test_merge ont un product_id dans df_erp ";"merge, corr"
"86";"2";"#comptage";"merge"
"87";"4";"#affectation de df_test_merge ?? df_final";"merge"
"88";"15";"#Avons-nous des lignes sans correspondance?";"merge, isna, stock, price, corr"
"89";"13";"#Resume final de la fusion";"to_excel"
"90";"5";"# Marquer la disponibilite web pour les analyses CA";""
"94";"1";"#Creation d'une boite a moustache de la repartition des prix avec Pandas";""
"95";"4";"#Autre methode avec plotly express #Creation d'une boite a moustache de la repartition des prix avec Pandas";"price, plotly"
"98";"12";"#Calculer la moyenne du prix";"price"
"99";"6";"#Quel est le seuil prix dont le z-score est superieur a 3?";"price, outlier"
"103";"4";"#Utilisation de la fonction describe de Pandas pour l'etude des mesures de dispersion";"price"
"104";"8";"#Definir un seuil pour les articles outliers en prix (IQR)";"price, IQR, outlier"
"105";"6";"#Definir le nombre d'articles et la proportion du catalogue outliers";"price, IQR, outlier"
"106";"4";"#Selon vous, ces outliers sont-ils justifies ?";"corr, outlier"
"109";"14";"##############################";"stock, price"
"110";"15";"##############################";"price, total_sales, corr"
"111";"3";"# Importation de la libairie pour export PNG";""
"112";"96";"###############################";"stock, price, plotly, corr"
"113";"65";"#############################";"stock, price"
"115";"65";"#####################################";"stock, price"
"117";"7";"#compte le nombre de lignes dans df_erp";"duplicated"
"118";"7";"#compte le nombre de lignes dans df_merge";"merge, duplicated"
"119";"7";"#compte le nombre de lignes dans df_web";"duplicated"
"120";"7";"#compte le nombre de lignes dans df_liaison";"duplicated"
"121";"9";"# Compter le nombre total de doublons (lignes identiques)";"duplicated"
"122";"52";"#####################################";""
"123";"124";"################################################";"stock, price"
"124";"61";"#####################################";"stock, price"
"125";"22";"# Courbe de Pareto - CA Cumul?? (%) avec Product_type en abscisse";"plotly"
"126";"41";"# Courbe de Pareto - CA Cumul?? (%) pour toutes les cat??gories de product_type (moyenne par product_type, couleur unique par produit)";"merge, plotly"
"128";"52";"############################################";"stock"
"129";"23";"#######################################";"merge, stock, price, purchase_price"
"130";"21";"##########################################";"merge, stock"
"131";"97";"#===== ANALYSE DE LA VARIABLE STOCK_WEB =====";"stock, corr"
"133";"25";"##############################";"merge, price, purchase_price"
"134";"19";"# Affichage des produits avec un taux de marge inf??rieur ?? 0";"price, purchase_price"
"135";"16";"# Cr??er un dataframe avec les taux positifs";""
"136";"38";"# Calculer le taux de marge moyen par type de produit";""
"138";"105";"##############################";"stock, price, purchase_price, plotly, corr"
"139";"57";"# Afficher les 5 plus fortes corr??lations";"stock, price, corr"
"142";"62";"####################################";"price, purchase_price, corr"
"143";"43";"####################################";"read_excel, stock, price, purchase_price, to_excel"
"144";"66";"####################################";"read_excel, stock, price, purchase_price, to_excel"
"145";"45";"####################################";"read_excel, stock, price"
"146";"116";"####################################";"stock, corr"
"147";"68";"############################";"merge, duplicated"
"148";"38";"####################################";"duplicated, corr"
"149";"12";"print(""\n"" + ""=""*70)";"duplicated, corr"
"150";"194";"####################################";"isna, stock, plotly"
"152";"42";"####################################";"stock"
"153";"368";"####################################";"stock, price"
"155";"174";"# G??n??rer un rapport Word avec toutes les d??couvertes et anomalies";"stock, price, corr, outlier"
"156";"8";"if 'df_final' in globals():";""
