product_id,post_title,product_type,bc05_kmeans_cluster,bc05_kmeans_centroid_distance,price,stock_quantity
4352,Champagne Egly-Ouriet Grand Cru Millésimé 2008,Champagne,1,6.207522160970047,225.0,0
5001,David Duband Charmes-Chambertin Grand Cru 2014,Vin,1,5.834762086212308,217.5,18
5892,Coteaux Champenois Egly-Ouriet Ambonnay Rouge 2016,Champagne,3,4.926019711098529,191.3,98
4402,Cognac Frapin VIP XO,Cognac,1,4.338184854525992,176.0,11
5767,Camille Giroud Clos de Vougeot 2016,Vin,1,4.270713196816828,175.0,12
4406,Cognac Frapin Château de Fontpinot 1989 20 Ans d'Age,Cognac,1,3.576367726646043,157.0,12
5916,Wemyss Malts Single Cask Scotch Whisky Chocolate Moka Cake 2005 Strathclyde,Whisky,2,3.515496311595084,93.0,1
4046,Pierre Gaillard Côte Rôtie Rose Pourpre 2017,Vin,2,3.4445488397579185,80.0,2
4697,,,1,3.437013038164379,34.5,1
5808,,,1,3.403693124466245,34.2,1
4594,,,1,3.2913754420124604,144.0,0
6126,Champagne Gosset Célébris Vintage 2007,Champagne,3,3.1042224751361007,135.0,138
7159,,,1,3.0589577647441537,31.0,1
5818,Maison Trimbach Riesling Grand Cru Schlossberg 2015,Vin,1,2.9131274382395658,63.5,2
4904,Domaine Des Croix Corton Charlemagne Grand Cru 2016,Vin,1,2.890596389970282,137.0,9
5574,Domaine Huet Vouvray Le Mont Moelleux Première Trie 2008,Vin,1,2.663734373978886,59.6,2
7162,,,1,2.6636980916353012,27.0,1
4627,Marcel Windholtz Eau de Vie de Poire Williams Réserve Particulière,Vin,1,2.5825706971148588,58.3,2
4577,,,2,2.428299774408283,49.0,1
5612,Domaine Weinbach Gewurztraminer Grand Cru Furstentum SGN 2010 1/2,Vin,1,2.421113375142271,124.8,19
4203,Mas Laval IGP Pays d'Hérault Les Pampres Blancs 2018,Vin,0,2.3812371378726325,9.9,74
5025,Champagne Agrapart &amp; Fils L'Avizoise Extra Brut Blanc de Blancs Grand Cru 2012,Champagne,3,2.308109803064891,112.0,136
6213,Domaine des Comtes Lafon Volnay 1er Cru Santenots du Milieu 2016,Vin,1,2.253114269747053,121.0,9
5917,Wemyss Malts Single Cask Scotch Whisky Choc 'n' Nut Pretzel 2001 Bunnahabhain,Whisky,1,2.239342473570087,122.0,12
6216,Domaine des Comtes Lafon Volnay 1er Cru Champans 2016,Vin,1,2.2128969601025688,121.0,14
7195,,,1,2.1890304251596806,21.0,1
6129,Moulin de Gassac IGP Pays d'Hérault Guilhem Blanc 2017,Vin,0,2.151024875799067,5.2,68
5569,,,1,2.1239987479008646,19.9,1
6106,Stéphane Tissot Château-Chalon 2011,Vin,1,2.0802061724239023,74.8,3
5560,,,0,2.062380255821798,47.0,62
